Event_Name,Event_Type,Department,Rating,Feedback
Cultural Fest,Cultural,Arts,5,Very informative and engaging
Robotics Bootcamp,Workshop,Mechanical,5,Great learning opportunity
Physics Colloquium,Seminar,Physics,3,Good but could be improved
Biotech Seminar,Seminar,Biotechnology,3,Content was okay
Robotics Bootcamp,Workshop,Mechanical,2,Session was too long
AI Workshop,Workshop,Computer Science,2,Audio issues during the event
Data Science Hackathon,Tech Fest,Computer Science,1,Session was too long
Cyber Security Talk,Seminar,IT,4,Very informative and engaging
Data Science Hackathon,Tech Fest,Computer Science,1,Not very engaging
Cyber Security Talk,Seminar,IT,4,Very informative and engaging
Cyber Security Talk,Seminar,IT,2,Poor time management
Physics Colloquium,Seminar,Physics,3,Good but could be improved
Robotics Bootcamp,Workshop,Mechanical,2,Audio issues during the event
Entrepreneurship Summit,Seminar,Management,4,Great learning opportunity
Entrepreneurship Summit,Seminar,Management,3,Average experience
Robotics Bootcamp,Workshop,Mechanical,2,Session was too long
Biotech Seminar,Seminar,Biotechnology,3,Content was okay
AI Workshop,Workshop,Computer Science,1,Session was too long
Biotech Seminar,Seminar,Biotechnology,1,Session was too long
AI Workshop,Workshop,Computer Science,1,Session was too long
Cultural Fest,Cultural,Arts,2,Not very engaging
Cyber Security Talk,Seminar,IT,1,Not very engaging
Cyber Security Talk,Seminar,IT,4,Great learning opportunity
Cultural Fest,Cultural,Arts,5,Loved the hands-on experience
Cyber Security Talk,Seminar,IT,1,Not very engaging
Biotech Seminar,Seminar,Biotechnology,2,Audio issues during the event
Entrepreneurship Summit,Seminar,Management,3,Good but could be improved
Physics Colloquium,Seminar,Physics,5,Great learning opportunity
Physics Colloquium,Seminar,Physics,5,Very informative and engaging
AI Workshop,Workshop,Computer Science,3,Could have been more interactive
Physics Colloquium,Seminar,Physics,2,Audio issues during the event
Data Science Hackathon,Tech Fest,Computer Science,4,Loved the hands-on experience
Cyber Security Talk,Seminar,IT,4,Very informative and engaging
Entrepreneurship Summit,Seminar,Management,4,Great learning opportunity
Cultural Fest,Cultural,Arts,4,Loved the hands-on experience
Data Science Hackathon,Tech Fest,Computer Science,5,Well organized and insightful
Cultural Fest,Cultural,Arts,1,Not very engaging
Data Science Hackathon,Tech Fest,Computer Science,5,Excellent speakers and content
Entrepreneurship Summit,Seminar,Management,5,Excellent speakers and content
Entrepreneurship Summit,Seminar,Management,4,Well organized and insightful
Data Science Hackathon,Tech Fest,Computer Science,4,Loved the hands-on experience
Physics Colloquium,Seminar,Physics,5,Great learning opportunity
Robotics Bootcamp,Workshop,Mechanical,3,Average experience
Data Science Hackathon,Tech Fest,Computer Science,2,Not very engaging
Cultural Fest,Cultural,Arts,2,Not very engaging
Cyber Security Talk,Seminar,IT,5,Loved the hands-on experience
Cultural Fest,Cultural,Arts,4,Well organized and insightful
Physics Colloquium,Seminar,Physics,5,Well organized and insightful
Robotics Bootcamp,Workshop,Mechanical,4,Very informative and engaging
Robotics Bootcamp,Workshop,Mechanical,3,Average experience
Entrepreneurship Summit,Seminar,Management,2,Poor time management
Cultural Fest,Cultural,Arts,4,Loved the hands-on experience
Robotics Bootcamp,Workshop,Mechanical,2,Poor time management
Cyber Security Talk,Seminar,IT,3,Content was okay
AI Workshop,Workshop,Computer Science,4,Loved the hands-on experience
Entrepreneurship Summit,Seminar,Management,5,Loved the hands-on experience
Physics Colloquium,Seminar,Physics,3,Average experience
Biotech Seminar,Seminar,Biotechnology,5,Excellent speakers and content
Data Science Hackathon,Tech Fest,Computer Science,1,Audio issues during the event
Entrepreneurship Summit,Seminar,Management,3,Average experience
Data Science Hackathon,Tech Fest,Computer Science,2,Session was too long
Biotech Seminar,Seminar,Biotechnology,5,Loved the hands-on experience
Entrepreneurship Summit,Seminar,Management,4,Loved the hands-on experience
Physics Colloquium,Seminar,Physics,3,Average experience
AI Workshop,Workshop,Computer Science,5,Well organized and insightful
Physics Colloquium,Seminar,Physics,4,Very informative and engaging
Biotech Seminar,Seminar,Biotechnology,5,Loved the hands-on experience
Entrepreneurship Summit,Seminar,Management,2,Session was too long
Biotech Seminar,Seminar,Biotechnology,2,Session was too long
Cultural Fest,Cultural,Arts,1,Not very engaging
Data Science Hackathon,Tech Fest,Computer Science,3,Could have been more interactive
Biotech Seminar,Seminar,Biotechnology,4,Well organized and insightful
Physics Colloquium,Seminar,Physics,2,Session was too long
Robotics Bootcamp,Workshop,Mechanical,3,Average experience
Cyber Security Talk,Seminar,IT,3,Could have been more interactive
Cyber Security Talk,Seminar,IT,2,Poor time management
Entrepreneurship Summit,Seminar,Management,1,Session was too long
Cultural Fest,Cultural,Arts,4,Loved the hands-on experience
Physics Colloquium,Seminar,Physics,4,Well organized and insightful
AI Workshop,Workshop,Computer Science,2,Poor time management
Data Science Hackathon,Tech Fest,Computer Science,1,Not very engaging
Cyber Security Talk,Seminar,IT,1,Session was too long
Robotics Bootcamp,Workshop,Mechanical,3,Content was okay
Cyber Security Talk,Seminar,IT,3,Average experience
Cultural Fest,Cultural,Arts,3,Could have been more interactive
Robotics Bootcamp,Workshop,Mechanical,4,Excellent speakers and content
Cyber Security Talk,Seminar,IT,2,Poor time management
AI Workshop,Workshop,Computer Science,4,Well organized and insightful
Data Science Hackathon,Tech Fest,Computer Science,2,Poor time management
Entrepreneurship Summit,Seminar,Management,4,Well organized and insightful
Physics Colloquium,Seminar,Physics,5,Loved the hands-on experience
Biotech Seminar,Seminar,Biotechnology,3,Good but could be improved
Robotics Bootcamp,Workshop,Mechanical,1,Audio issues during the event
Cyber Security Talk,Seminar,IT,4,Excellent speakers and content
Data Science Hackathon,Tech Fest,Computer Science,3,Average experience
Cyber Security Talk,Seminar,IT,1,Poor time management
AI Workshop,Workshop,Computer Science,5,Very informative and engaging
Cyber Security Talk,Seminar,IT,4,Very informative and engaging
Physics Colloquium,Seminar,Physics,4,Well organized and insightful
Entrepreneurship Summit,Seminar,Management,3,Content was okay
